1111A1ST PLACE MDL111000001
2047BTYPEWRITER   105080100
1742AHANDLE       020001000
2149CUSB DRIVE    150120000
3761DTAPE         005500000
2791ABOLTS        200000075
3000FSTAPLER      100000200
3001FOVERHEAD PROJ101009999
3002FPENCILS      099000009
4001DCANADIAN RUGS184015029
4003ZCARPET       050004000
4005CWASTE BASKETS001000379
5001AHINGES       010001000
5003BPENS (GOLD)  010004999
5004DPENS (BLACK) 400000200
8888AHIGH CHAIR   999999999
8889BPLAY PEN     412007499
0001GLOW BALL     001000001
9999ALAST RECORD  999000001
